2025-05-21 18:04:18.313 UTC | INFO     | apscheduler.scheduler     | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2025-05-21 18:04:18.314 UTC | INFO     | apscheduler.scheduler     | Added job "refresh_active_mission_cache" to job store "default"
2025-05-21 18:04:18.314 UTC | INFO     | apscheduler.scheduler     | Scheduler started
2025-05-21 18:04:18.314 UTC | INFO     | app.app                   | APScheduler started for background cache refresh.
2025-05-21 18:04:28.702 UTC | INFO     | app.app                   | Force refresh requested for power (m204). Bypassing cache.
2025-05-21 18:04:28.703 UTC | INFO     | app.app                   | Attempting remote load for power (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.722 UTC | INFO     | app.app                   | Force refresh requested for ctd (m204). Bypassing cache.
2025-05-21 18:04:28.723 UTC | INFO     | app.app                   | Attempting remote load for ctd (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.732 UTC | INFO     | app.app                   | Force refresh requested for weather (m204). Bypassing cache.
2025-05-21 18:04:28.732 UTC | INFO     | app.app                   | Attempting remote load for weather (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.745 UTC | INFO     | app.app                   | Force refresh requested for waves (m204). Bypassing cache.
2025-05-21 18:04:28.745 UTC | INFO     | app.app                   | Attempting remote load for waves (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.761 UTC | INFO     | app.app                   | Force refresh requested for ais (m204). Bypassing cache.
2025-05-21 18:04:28.761 UTC | INFO     | app.app                   | Attempting remote load for ais (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.777 UTC | INFO     | app.app                   | Force refresh requested for errors (m204). Bypassing cache.
2025-05-21 18:04:28.777 UTC | INFO     | app.app                   | Attempting remote load for errors (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_realtime_missions (client=None)
2025-05-21 18:04:28.861 UTC | INFO     | app.app                   | File not found in realtime path (expected for past missions): http://129.173.20.180:8086/output_realtime_missions/m204-SV3-1070 (C34164NS) for weather (m204). Will try next path.
2025-05-21 18:04:28.861 UTC | INFO     | app.app                   | Attempting remote load for weather (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_past_missions (client=None)
2025-05-21 18:04:28.869 UTC | INFO     | app.app                   | File not found in realtime path (expected for past missions): http://129.173.20.180:8086/output_realtime_missions/m204-SV3-1070 (C34164NS) for waves (m204). Will try next path.
2025-05-21 18:04:28.869 UTC | INFO     | app.app                   | Attempting remote load for waves (mission: m204, remote folder: m204-SV3-1070 (C34164NS)) from base: http://129.173.20.180:8086/output_past_missions (client=None)
2025-05-21 18:04:28.878 UTC | INFO     | app.app                   | File not found in realtime path (expected for past missions): http://129.173.20.180:8086/output_realtime_missions/m204-SV3-1070 (C34164NS) for ais (m204). Will try next path.
